Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
160.00	14.233	209.67	0.0047693	21.861	24.848	89.237	37.531	60.624	307.89	3.3514	25.405	0.036939	supercritical
160.00	14.267	210.24	0.0047564	21.855	24.842	89.205	37.538	60.676	307.93	3.3475	25.423	0.036973	supercritical
160.00	14.300	210.81	0.0047436	21.850	24.835	89.173	37.545	60.728	307.97	3.3436	25.441	0.037007	supercritical
160.00	14.333	211.38	0.0047308	21.844	24.828	89.142	37.552	60.779	308.01	3.3396	25.459	0.037041	supercritical
160.00	14.367	211.95	0.0047181	21.838	24.821	89.110	37.558	60.831	308.05	3.3357	25.477	0.037075	supercritical
160.00	14.400	212.52	0.0047055	21.833	24.815	89.078	37.565	60.883	308.10	3.3317	25.496	0.037109	supercritical
160.00	14.433	213.09	0.0046929	21.827	24.808	89.047	37.572	60.935	308.14	3.3278	25.514	0.037143	supercritical
160.00	14.467	213.66	0.0046804	21.821	24.801	89.015	37.579	60.987	308.18	3.3238	25.532	0.037177	supercritical
160.00	14.500	214.23	0.0046680	21.816	24.794	88.984	37.586	61.038	308.23	3.3199	25.551	0.037211	supercritical
160.00	14.533	214.80	0.0046556	21.810	24.788	88.953	37.593	61.090	308.27	3.3159	25.569	0.037245	supercritical
160.00	14.567	215.37	0.0046433	21.804	24.781	88.921	37.599	61.142	308.31	3.3119	25.588	0.037279	supercritical
160.00	14.600	215.94	0.0046310	21.798	24.774	88.890	37.606	61.194	308.36	3.3079	25.606	0.037314	supercritical
160.00	14.633	216.51	0.0046188	21.793	24.767	88.859	37.613	61.245	308.40	3.3040	25.625	0.037348	supercritical
160.00	14.667	217.08	0.0046067	21.787	24.761	88.828	37.620	61.297	308.45	3.3000	25.644	0.037383	supercritical
160.00	14.700	217.65	0.0045946	21.781	24.754	88.796	37.627	61.349	308.50	3.2960	25.663	0.037417	supercritical
160.00	14.733	218.22	0.0045826	21.776	24.747	88.765	37.633	61.401	308.54	3.2920	25.681	0.037452	supercritical
160.00	14.767	218.79	0.0045706	21.770	24.740	88.734	37.640	61.452	308.59	3.2880	25.700	0.037486	supercritical
160.00	14.800	219.36	0.0045587	21.764	24.734	88.703	37.647	61.504	308.64	3.2840	25.719	0.037521	supercritical
160.00	14.833	219.93	0.0045468	21.759	24.727	88.672	37.653	61.556	308.69	3.2800	25.738	0.037556	supercritical
